strategy,examples,selected_tokens,avg_tokens_per_example,unique_field_position_tokens,duplicate_token_rows,duplicate_token_row_pct,weak_token_rows,weak_token_pct,candidate_rows,source_rows,reference_rows,top_positions,top_repeated_tokens
current_fixed_6,36,210,5.833333333333333,91,152,72.38095238095238,36,17.142857142857142,108,36,66,"[[""candidate_middle"", 36], [""candidate_last"", 36], [""candidate_first"", 36], [""source_middle"", 36], [""reference_middle"", 36], [""reference_last"", 30]]","[{""count"": 7, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""yeah""}, {""count"": 6, ""field"": ""source"", ""position"": ""middle"", ""token"": ""kind""}, {""count"": 6, ""field"": ""reference"", ""position"": ""middle"", ""token"": ""human""}, {""count"": 6, ""field"": ""reference"", ""position"": ""last"", ""token"": ""zebrafish""}, {""count"": 6, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""think""}, {""count"": 6, ""field"": ""source"", ""position"": ""middle"", ""token"": ""each""}, {""count"": 6, ""field"": ""reference"", ""position"": ""middle"", ""token"": ""paid""}, {""count"": 6, ""field"": ""reference"", ""position"": ""last"", ""token"": ""james""}]"
candidate_only_6,36,211,5.861111111111111,171,62,29.38388625592417,44,20.85308056872038,211,0,0,"[[""candidate_middle"", 36], [""candidate_last"", 36], [""candidate_first"", 36], [""candidate_content_2"", 28], [""candidate_content_4"", 21], [""candidate_content_1"", 21], [""candidate_content_3"", 14], [""candidate_content_6"", 9]]","[{""count"": 7, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""yeah""}, {""count"": 6, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""think""}, {""count"": 5, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""that""}, {""count"": 5, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""that""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""zebrafish""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""movie""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""good""}, {""count"": 2, ""field"": ""candidate"", ""position"": ""content_2"", ""token"": ""genes""}]"
candidate_source_6,36,215,5.972222222222222,119,126,58.604651162790695,42,19.53488372093023,143,72,0,"[[""candidate_middle"", 36], [""candidate_last"", 36], [""candidate_first"", 36], [""source_middle"", 36], [""source_last"", 36], [""candidate_content_1"", 13], [""candidate_content_2"", 8], [""candidate_content_3"", 7]]","[{""count"": 7, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""yeah""}, {""count"": 6, ""field"": ""source"", ""position"": ""middle"", ""token"": ""kind""}, {""count"": 6, ""field"": ""source"", ""position"": ""last"", ""token"": ""them""}, {""count"": 6, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""think""}, {""count"": 6, ""field"": ""source"", ""position"": ""middle"", ""token"": ""each""}, {""count"": 6, ""field"": ""source"", ""position"": ""last"", ""token"": ""ohio""}, {""count"": 6, ""field"": ""source"", ""position"": ""middle"", ""token"": ""specially""}, {""count"": 6, ""field"": ""source"", ""position"": ""last"", ""token"": ""movie""}]"
candidate_reference_6,36,209,5.805555555555555,118,120,57.41626794258373,42,20.095693779904305,143,0,66,"[[""candidate_middle"", 36], [""candidate_last"", 36], [""candidate_first"", 36], [""reference_middle"", 36], [""reference_last"", 30], [""candidate_content_1"", 13], [""candidate_content_2"", 8], [""candidate_content_3"", 7]]","[{""count"": 7, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""yeah""}, {""count"": 6, ""field"": ""reference"", ""position"": ""middle"", ""token"": ""human""}, {""count"": 6, ""field"": ""reference"", ""position"": ""last"", ""token"": ""zebrafish""}, {""count"": 6, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""think""}, {""count"": 6, ""field"": ""reference"", ""position"": ""middle"", ""token"": ""paid""}, {""count"": 6, ""field"": ""reference"", ""position"": ""last"", ""token"": ""james""}, {""count"": 6, ""field"": ""reference"", ""position"": ""middle"", ""token"": ""that""}, {""count"": 6, ""field"": ""reference"", ""position"": ""last"", ""token"": ""underminer""}]"
balanced_6,36,210,5.833333333333333,78,166,79.04761904761905,23,10.952380952380953,72,72,66,"[[""candidate_middle"", 36], [""candidate_last"", 36], [""source_middle"", 36], [""source_last"", 36], [""reference_middle"", 36], [""reference_last"", 30]]","[{""count"": 6, ""field"": ""source"", ""position"": ""middle"", ""token"": ""kind""}, {""count"": 6, ""field"": ""source"", ""position"": ""last"", ""token"": ""them""}, {""count"": 6, ""field"": ""reference"", ""position"": ""middle"", ""token"": ""human""}, {""count"": 6, ""field"": ""reference"", ""position"": ""last"", ""token"": ""zebrafish""}, {""count"": 6, ""field"": ""source"", ""position"": ""middle"", ""token"": ""each""}, {""count"": 6, ""field"": ""source"", ""position"": ""last"", ""token"": ""ohio""}, {""count"": 6, ""field"": ""reference"", ""position"": ""middle"", ""token"": ""paid""}, {""count"": 6, ""field"": ""reference"", ""position"": ""last"", ""token"": ""james""}]"
candidate_only_10,36,300,8.333333333333334,251,78,26.0,60,20.0,300,0,0,"[[""candidate_middle"", 36], [""candidate_last"", 36], [""candidate_first"", 36], [""candidate_content_2"", 33], [""candidate_content_1"", 32], [""candidate_content_4"", 27], [""candidate_content_5"", 25], [""candidate_content_3"", 21]]","[{""count"": 7, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""yeah""}, {""count"": 6, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""think""}, {""count"": 5, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""that""}, {""count"": 5, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""that""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""zebrafish""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""great""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""movie""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""content_2"", ""token"": ""movie""}]"
candidate_source_10,36,349,9.694444444444445,212,181,51.862464183381086,76,21.77650429799427,241,108,0,"[[""candidate_middle"", 36], [""candidate_last"", 36], [""candidate_first"", 36], [""source_middle"", 36], [""source_last"", 36], [""source_first"", 36], [""candidate_content_2"", 31], [""candidate_content_4"", 26]]","[{""count"": 12, ""field"": ""source"", ""position"": ""first"", ""token"": ""like""}, {""count"": 7, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""yeah""}, {""count"": 6, ""field"": ""source"", ""position"": ""middle"", ""token"": ""kind""}, {""count"": 6, ""field"": ""source"", ""position"": ""last"", ""token"": ""them""}, {""count"": 6, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""think""}, {""count"": 6, ""field"": ""source"", ""position"": ""middle"", ""token"": ""each""}, {""count"": 6, ""field"": ""source"", ""position"": ""last"", ""token"": ""ohio""}, {""count"": 6, ""field"": ""source"", ""position"": ""middle"", ""token"": ""specially""}]"
candidate_no_first_6,36,205,5.694444444444445,182,40,19.51219512195122,33,16.097560975609756,205,0,0,"[[""candidate_middle"", 36], [""candidate_last"", 36], [""candidate_content_2"", 28], [""candidate_content_4"", 23], [""candidate_content_1"", 21], [""candidate_content_3"", 14], [""candidate_content_5"", 14], [""candidate_content_6"", 9]]","[{""count"": 5, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""that""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""zebrafish""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""movie""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""good""}, {""count"": 2, ""field"": ""candidate"", ""position"": ""content_2"", ""token"": ""genes""}, {""count"": 2, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""very""}, {""count"": 2, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""have""}, {""count"": 2, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""highest""}]"
candidate_content_6,36,187,5.194444444444445,169,33,17.647058823529413,0,0.0,187,0,0,"[[""candidate_last"", 33], [""candidate_middle"", 28], [""candidate_content_2"", 25], [""candidate_content_4"", 19], [""candidate_content_1"", 19], [""candidate_content_3"", 12], [""candidate_content_5"", 12], [""candidate_content_6"", 11]]","[{""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""zebrafish""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""movie""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""good""}, {""count"": 2, ""field"": ""candidate"", ""position"": ""content_2"", ""token"": ""genes""}, {""count"": 2, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""very""}, {""count"": 2, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""have""}, {""count"": 2, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""highest""}, {""count"": 2, ""field"": ""candidate"", ""position"": ""content_4"", ""token"": ""paid""}]"
candidate_content_10,36,253,7.027777777777778,229,43,16.99604743083004,0,0.0,253,0,0,"[[""candidate_last"", 33], [""candidate_content_2"", 29], [""candidate_middle"", 28], [""candidate_content_1"", 27], [""candidate_content_5"", 23], [""candidate_content_4"", 21], [""candidate_content_3"", 17], [""candidate_content_6"", 15]]","[{""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""zebrafish""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""great""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""movie""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""content_2"", ""token"": ""movie""}, {""count"": 3, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""good""}, {""count"": 2, ""field"": ""candidate"", ""position"": ""content_2"", ""token"": ""great""}, {""count"": 2, ""field"": ""candidate"", ""position"": ""content_2"", ""token"": ""genes""}, {""count"": 2, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""very""}]"
